Name,Date,Location,Type,Region,Weather
Kate Alice Marshall,1/22/2024 |  Elliott Bay Book Company, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Rain. Cloudy, with a high near 49. South southeast wind 6 to 14 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Machine Head,1/22/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain. Cloudy, with a high near 50. South southeast wind 6 to 13 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Silent Movie Mondays – Safety Last,1/22/2024 |  The Paramount Theatre, The Paramount Theatre,Film & Media Arts,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
Life on Thin Ice | National Geographic Live,1/22/2024 through 1/23/2024 |  Benaroya Hall, Benaroya Hall,Readings & Lectures,Downtown,No forecast available
Buck Meek,1/23/2024 |  The Crocodile, The Crocodile,Music,Downtown,"Rain. Mostly cloudy, with a high near 50. South wind around 12 mph. Chance of precipitation is 90%. New rainfall amounts less than a tenth of an inch possible."
Curator Tour: Joseph A. Witt Winter Garden,1/23/2024 |  Washington Park Arboretum, Washington Park Arboretum,Tours & Attractions,University District,"Rain. Mostly cloudy, with a high near 51. South wind 7 to 10 mph. Chance of precipitation is 90%. New rainfall amounts less than a tenth of an inch possible."
Synthwave DJ Dance Party,1/23/2024 |  High Dive, High Dive,Music,Fremont / Ballard,"A chance of rain before noon. Cloudy, with a high near 34. East northeast wind around 6 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Wiley from Atlanta,1/23/2024 |  Funhouse, Funhouse,Music,Capitol Hill / Central District,"Mostly cloudy, with a high near 34. Northwest wind around 6 mph."
Winter Reverb,1/23/2024 |  Chop Suey, Chop Suey,Music,Capitol Hill / Central District,No forecast available
Tribute to John Williams,Now through 1/24/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Lakecia Benjamin and Phoenix,1/23/2024 through 1/24/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,No forecast available
Corey Harper,1/24/2024 |  Barboza, Barboza,Music,Capitol Hill / Central District,No forecast available
DJ Shadow,1/24/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Opera on Tap,1/24/2024 |  The Royal Room, The Royal Room,Music,South Seattle,"A chance of rain showers before 5pm. Partly sunny, with a high near 60. Chance of precipitation is 30%."
PBS – Peter Band Supreme,1/24/2024 |  Sea Monster Lounge, Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain. Cloudy, with a high near 48. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Kraken vs. Chicago Blackhawks,1/24/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain. Cloudy, with a high near 48. Chance of precipitation is 100%."
Silent Planet,1/24/2024 |  El Corazon, El Corazon,Music,Downtown,No forecast available
Stuff You Should Know,1/24/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,"Rain likely. Cloudy, with a high near 42. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
The Cooking Gene,1/24/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,"Rain. Cloudy, with a high near 48. Chance of precipitation is 100%."
Aryana Leon,1/25/2024 |  Barboza, Barboza,Music,Capitol Hill / Central District,No forecast available
Colorworks,1/25/2024 |  Nectar Lounge, Nectar Lounge,Music,Fremont / Ballard,"Rain. Mostly cloudy, with a high near 50."
Dar Williams,1/25/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Deb Perelman,1/25/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,"Rain. Mostly cloudy, with a high near 50."
Emanuel Brown,1/25/2024 |  Chop Suey, Chop Suey,Music,Capitol Hill / Central District,No forecast available
James Miles,1/25/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,"Rain. Mostly cloudy, with a high near 50."
Madeline Pendleton,1/25/2024 |  Elliott Bay Book Company, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Rain. Mostly cloudy, with a high near 50."
October London,1/25/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain. Mostly cloudy, with a high near 50."
Tacoma Stars vs. Empire Strykers,1/25/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,"Rain. Mostly cloudy, with a high near 51."
Dungeons and Drag Queens,1/26/2024 |  The Crocodile, The Crocodile,Theatre,Downtown,"Rain. Cloudy, with a high near 48."
Global Rhythms: Yungchen Lhamo,1/26/2024 |  Town Hall Seattle, Town Hall Seattle,Music,Downtown,"Rain. Mostly cloudy, with a high near 48."
Harlem Globetrotters 2024 World Tour –,1/26/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,"Rain. Mostly cloudy, with a high near 49."
Seattle Kraken vs. St. Louis Blues,1/26/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain. Cloudy, with a high near 48."
Shelf Nunny,1/26/2024 |  Barboza, Barboza,Music,Capitol Hill / Central District,No forecast available
Super Diamond – The Neil Diamond Tribute Band,1/26/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain. Cloudy, with a high near 49."
The Disorderlies,1/26/2024 |  Slim's Last Chance, Slim's Last Chance,Music,South Seattle,"Rain. Mostly cloudy, with a high near 49."
Compania Nacional de Danza,1/25/2024 through 1/27/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Dance,University District,Location not found
Metropolis,1/25/2024 through 1/27/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Andy Coe Band,1/26/2024 through 1/27/2024 |  Nectar Lounge, Nectar Lounge,Music,Fremont / Ballard,No forecast available
Harlem Globetrotters,1/27/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain. Cloudy, with a high near 52."
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,"Rain. Cloudy, with a high near 54."
The Budos Band,1/27/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain. Cloudy, with a high near 53."
The Human Family,1/27/2024 |  Opera Center, Opera Center,Music,Queen Anne / Seattle Center,No forecast available
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024 |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,No forecast available
Hanako O’Leary: Izanami,Now through 1/28/2024 |  Frye Art Museum, Frye Art Museum,Museums,Capitol Hill / Central District,No forecast available
Gage Alumni Show,Now through 1/28/2024 |  Fountainhead Gallery, Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,No forecast available
Bohemia,Now through 1/28/2024 |  The Triple Door, The Triple Door,Theatre,Downtown,No forecast available
Lee Ritenour and Dave Grusin,1/25/2024 through 1/28/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,No forecast available
Celebrate Asia,1/28/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Family Day with Birds Connect Seattle,1/28/2024 |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,No forecast available
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Tacoma Stars vs. San Diego Sockers,1/28/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,No forecast available
Adira Sharkey,1/29/2024 |  Tractor Tavern, Tractor Tavern,Music,Fremont / Ballard,No forecast available
"Car, The Garden",1/29/2024 |  The Crocodile, The Crocodile,Music,Downtown,No forecast available
Cheryl Wheeler,1/30/2024 |  The Triple Door, The Triple Door,Music,Downtown,No forecast available
