Name,Date,Location,Type,Region,Weather
Kate Alice Marshall,1/22/2024 |  Elliott Bay Book Company, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Machine Head,1/22/2024 |  The Showbox, The Showbox,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Silent Movie Mondays – Safety Last,1/22/2024 |  The Paramount Theatre, The Paramount Theatre,Film & Media Arts,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
Life on Thin Ice | National Geographic Live,1/22/2024 through 1/23/2024 |  Benaroya Hall, Benaroya Hall,Readings & Lectures,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Buck Meek,1/23/2024 |  The Crocodile, The Crocodile,Music,Downtown,No forecast available
Curator Tour: Joseph A. Witt Winter Garden,1/23/2024 |  Washington Park Arboretum, Washington Park Arboretum,Tours & Attractions,University District,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Synthwave DJ Dance Party,1/23/2024 |  High Dive, High Dive,Music,Fremont / Ballard,"Areas of fog. Cloudy, with a high near 34. South southwest wind 7 to 15 mph, with gusts as high as 21 mph."
Wiley from Atlanta,1/23/2024 |  Funhouse, Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 32. Wind chill values as low as -1. Southwest wind 2 to 6 mph."
Winter Reverb,1/23/2024 |  Chop Suey, Chop Suey,Music,Capitol Hill / Central District,No forecast available
Tribute to John Williams,Now through 1/24/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Lakecia Benjamin and Phoenix,1/23/2024 through 1/24/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Corey Harper,1/24/2024 |  Barboza, Barboza,Music,Capitol Hill / Central District,No forecast available
DJ Shadow,1/24/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Opera on Tap,1/24/2024 |  The Royal Room, The Royal Room,Music,South Seattle,"Rain showers after 11am. Mostly cloudy, with a high near 63. Southeast wind 3 to 7 mph. Chance of precipitation is 90%."
PBS – Peter Band Supreme,1/24/2024 |  Sea Monster Lounge, Sea Monster Lounge,Music,Wallingford / Greenlake,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. East southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Chicago Blackhawks,1/24/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Rain likely. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. Southeast wind around 8 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
Silent Planet,1/24/2024 |  El Corazon, El Corazon,Music,Downtown,No forecast available
Stuff You Should Know,1/24/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,"Sunny. High near 35, with temperatures falling to around 32 in the afternoon. Wind chill values as low as 11. West wind 5 to 12 mph."
The Cooking Gene,1/24/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,"Rain likely. Mostly cloudy, with a high near 48. Southeast wind around 7 mph. Chance of precipitation is 70%. New rainfall amounts less than a tenth of an inch possible."
